"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"CENPP",0.0243042489579534,1,0,3.62775468145509,"male_hypothalamus","NS","extend"
"TECTB",0.00238821284368302,0.877506854320828,0.0567494825178799,3.00538442846172,"male_hypothalamus","NS","extend"
"MMP27",0.00117236556367046,0.569225351360713,0.244715766158221,2.88756705045017,"male_hypothalamus","NS","extend"
"LOC101747386",0.0291846837156031,1,0,2.50684586566305,"male_hypothalamus","NS","extend"
"SLC13A1",0.0244094134017612,1,0,1.91078682656889,"male_hypothalamus","NS","extend"
"CENPA",0.0158480751549198,1,0,1.86532945802806,"male_hypothalamus","NS","extend"
"DMRT2",0.0116159785704798,1,0,1.8141977338359,"male_hypothalamus","NS","extend"
"LOC420992",0.0436596453308652,1,0,1.7525542146156,"male_hypothalamus","NS","extend"
"UBAP1L",0.00597501645593291,1,0,1.66838436942296,"male_hypothalamus","NS","extend"
"BPIFCB",0.0433326123552904,1,0,1.66392989075124,"male_hypothalamus","NS","extend"
"SATB2",0.001017740191913,0.546045063008639,0.262771515155292,1.63793921008799,"male_hypothalamus","NS","extend"
"GPR15",0.0463136031287726,1,0,1.42738192256014,"male_hypothalamus","NS","extend"
"TMPRSS3",0.0482348066265932,1,0,1.42231737533601,"male_hypothalamus","NS","extend"
"CCR7",0.0260601630120003,1,0,1.24845430849176,"male_hypothalamus","NS","extend"
"RAB25",0.0499341904467285,1,0,1.21614620955595,"male_hypothalamus","NS","extend"
"GNAS",0.0443139208681021,1,0,1.20719535037654,"male_hypothalamus","NS","extend"
"CPA6",0.00199664877848823,0.848263754485859,0.0714690895975158,1.19182029294027,"male_hypothalamus","NS","extend"
"ALG13",0.00370196411280506,1,0,1.01303628327398,"male_hypothalamus","NS","extend"
"LOC107050337",0.0385075001157278,1,0,0.954852331011162,"male_hypothalamus","NS","extend"
"USH1C",0.00561873755783893,1,0,0.949058430678494,"male_hypothalamus","NS","extend"
"LOC421584",0.0141752682029773,1,0,0.944781557314813,"male_hypothalamus","NS","extend"
"LOC107054798",0.0158813889948481,1,0,0.936196931118036,"male_hypothalamus","NS","extend"
"MMEL1",0.0304681890960584,1,0,0.93249208659278,"male_hypothalamus","NS","extend"
"PI16",0.00675763807925959,1,0,0.920895302266318,"male_hypothalamus","NS","extend"
"COR7A",0.0379183029840849,1,0,0.865922644758853,"male_hypothalamus","NS","extend"
"BOK",0.000471393033232784,0.458486733058554,0.338673226717675,0.833621023222612,"male_hypothalamus","NS","extend"
"AKAP7L",0.0477319744778622,1,0,0.797160079086215,"male_hypothalamus","NS","extend"
"IL1RL1",0.0209978833396771,1,0,0.796802715268737,"male_hypothalamus","NS","extend"
"FBLN2",0.00838240884740008,1,0,0.789488039059869,"male_hypothalamus","NS","extend"
"LOC428277",0.0463452418748684,1,0,0.789225546333337,"male_hypothalamus","NS","extend"
"C5H15ORF57",0.013536193510073,1,0,0.782402305699292,"male_hypothalamus","NS","extend"
"FBLIM1",0.0163093829489594,1,0,0.776101185622796,"male_hypothalamus","NS","extend"
"COL19A1",0.0233826654521217,1,0,0.747239667567976,"male_hypothalamus","NS","extend"
"EGR3",0.0397813718503576,1,0,0.736342519666298,"male_hypothalamus","NS","extend"
"NR4A3",0.0183938410529789,1,0,0.727917271518393,"male_hypothalamus","NS","extend"
"HENMT1",0.0450754310088482,1,0,0.724341543622397,"male_hypothalamus","NS","extend"
"BCL11A",0.0148871138561047,1,0,0.691483870838711,"male_hypothalamus","NS","extend"
"DGKG",0.0043063091072713,1,0,0.687724576308706,"male_hypothalamus","NS","extend"
"MIP",0.0309075217818203,1,0,0.657778737188847,"male_hypothalamus","NS","extend"
"RIT1",0.0346421315046531,1,0,0.640435605021743,"male_hypothalamus","NS","extend"
"FOSL2",0.0104444708072909,1,0,0.638578883230982,"male_hypothalamus","NS","extend"
"KLF7",0.0144627229289454,1,0,0.624689931931603,"male_hypothalamus","NS","extend"
"SLIT3",0.00716863496626029,1,0,0.614837663641354,"male_hypothalamus","NS","extend"
"EGR1",0.0349837209992581,1,0,0.587892233878847,"male_hypothalamus","NS","extend"
"PIK3R6",0.0499233614304702,1,0,0.575439947631526,"male_hypothalamus","NS","extend"
"LOC107050697",0.0238133977436461,1,0,0.566913415794318,"male_hypothalamus","NS","extend"
"PTK2B",0.0379437223734803,1,0,0.553160912731733,"male_hypothalamus","NS","extend"
"ARHGAP26",0.0163095625708974,1,0,0.552728523205243,"male_hypothalamus","NS","extend"
"RP5-877J2.1",0.0349954611179875,1,0,0.552268987620809,"male_hypothalamus","NS","extend"
"NTSR1",0.0383080157835038,1,0,0.537308069465702,"male_hypothalamus","NS","extend"
"PCSK9",0.0462634605585061,1,0,0.529595768852395,"male_hypothalamus","NS","extend"
"ATP2B1",0.0244984293752084,1,0,0.529188720204769,"male_hypothalamus","NS","extend"
"VNN1",0.0496319658385573,1,0,0.510203305225691,"male_hypothalamus","NS","extend"
"PHKA2",0.01492792739391,1,0,0.509067993335574,"male_hypothalamus","NS","extend"
"MPPED1",0.0174158399608607,1,0,0.505447136689507,"male_hypothalamus","NS","extend"
"FKBP5",0.0295179238751001,1,0,0.492405775338632,"male_hypothalamus","NS","extend"
"HOMER2",0.0370586321370514,1,0,0.49078699817849,"male_hypothalamus","NS","extend"
"KIT",0.00223036339662016,0.877506854320828,0.0567494825178799,0.482799002080216,"male_hypothalamus","NS","extend"
"SLC9A5",0.0315333247843485,1,0,0.46991692715955,"male_hypothalamus","NS","extend"
"BRSK2",0.0281480903080464,1,0,0.465765308338409,"male_hypothalamus","NS","extend"
"PTPRS",0.042217746829549,1,0,0.462811438961063,"male_hypothalamus","NS","extend"
"KCNT1",0.027151047021438,1,0,0.460487408253583,"male_hypothalamus","NS","extend"
"CTGF",0.0390897365696619,1,0,0.437068383806655,"male_hypothalamus","NS","extend"
"ST8SIA3",0.0329429135562325,1,0,0.430091678326059,"male_hypothalamus","NS","extend"
"CHIC2",0.0422440307235895,1,0,0.423340175185926,"male_hypothalamus","NS","extend"
"TYRO3",0.0401446256754345,1,0,0.419624183393751,"male_hypothalamus","NS","extend"
"INSR",0.0222634132833168,1,0,0.417082888531297,"male_hypothalamus","NS","extend"
"SETD4",0.0474079446626582,1,0,0.415986462443582,"male_hypothalamus","NS","extend"
"GPR27",0.0365165768875279,1,0,0.406139357833133,"male_hypothalamus","NS","extend"
"SLC39A11",0.0313851417087944,1,0,0.404992397585822,"male_hypothalamus","NS","extend"
"DHCR24",0.0273459564271386,1,0,0.401975606389071,"male_hypothalamus","NS","extend"
"DSCAML1",0.0443809339423549,1,0,0.401899776220286,"male_hypothalamus","NS","extend"
"TMEFF1",0.0490493087810516,1,0,0.354062752778312,"male_hypothalamus","NS","extend"
"ALDH9A1",0.0217345644706384,1,0,-0.331962364109973,"male_hypothalamus","NS","inc.d9"
"KCTD9",0.0494371672792569,1,0,-0.341498151599042,"male_hypothalamus","NS","inc.d9"
"LOC421419",0.0365273495786445,1,0,-0.352427574939011,"male_hypothalamus","NS","inc.d9"
"ERCC3",0.0208153957749437,1,0,-0.386211215085602,"male_hypothalamus","NS","inc.d9"
"SYT13",0.0349346516567875,1,0,-0.392692560979731,"male_hypothalamus","NS","inc.d9"
"ASB13",0.0179213947499686,1,0,-0.392751167184099,"male_hypothalamus","NS","inc.d9"
"RP11-385J1.3",0.0257755092675889,1,0,-0.406600962162944,"male_hypothalamus","NS","inc.d9"
"ACSS1",0.00637234247633282,1,0,-0.410699511407464,"male_hypothalamus","NS","inc.d9"
"GART",0.024882064553821,1,0,-0.421370268064071,"male_hypothalamus","NS","inc.d9"
"DHTKD1",0.034774116005824,1,0,-0.422123810587251,"male_hypothalamus","NS","inc.d9"
"NXPH1",0.0449429952922432,1,0,-0.422454195500528,"male_hypothalamus","NS","inc.d9"
"FOXRED1",0.0487385050043067,1,0,-0.424494824914777,"male_hypothalamus","NS","inc.d9"
"PARVA",0.0132619374113442,1,0,-0.428686295817197,"male_hypothalamus","NS","inc.d9"
"COQ9",0.031126842285303,1,0,-0.431022408529597,"male_hypothalamus","NS","inc.d9"
"DRAM2",0.0358389267305821,1,0,-0.439888791937819,"male_hypothalamus","NS","inc.d9"
"SEMA3G",0.0214609039645902,1,0,-0.441170677089713,"male_hypothalamus","NS","inc.d9"
